name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san francisco,2021-03-01,68.8,44,56,68.8,41.1,55.7,33.8,45.1,0,0,0,,0,0,,11.4,256,1019.8,12.2,9.9,214.3,18.3,7,,2021-03-01T06:40:35,2021-03-01T18:03:47,0.53,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-02,64.3,45.5,54.5,64.3,43.4,54.1,38.7,55.6,0,0,0,,0,0,,13.2,228.8,1013.6,70.4,9.9,188.1,16.2,7,,2021-03-02T06:39:11,2021-03-02T18:04:47,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-03,62.4,48,53.8,62.4,47.1,53.8,41.8,64.1,0,0,0,,0,0,,17.5,214.1,1010.5,68.7,9.8,179,15.5,8,,2021-03-03T06:37:46,2021-03-03T18:05:47,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-04,62,45.5,54.1,62,43.8,53.8,42.1,64.6,0,0,0,,0,0,,13.7,218,1023.2,19.6,9.9,217.4,18.7,7,,2021-03-04T06:36:20,2021-03-04T18:06:46,0.67,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-05,65.3,45.1,55.7,65.3,43.6,55.5,44.3,66.1,0.09,100,4.17,rain,0,0,46.4,32,180.4,1020.6,45.4,9.6,212.2,18.4,8,,2021-03-05T06:34:54,2021-03-05T18:07:45,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-06,58.6,46.6,52.6,58.6,44.2,51.9,42.5,69,0.09,100,8.33,rain,0,0,32.8,19.9,285.5,1020.7,52.3,9.7,214,18.4,8,,2021-03-06T06:33:27,2021-03-06T18:08:44,0.78,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-07,60.1,43,51.8,60.1,39,51.1,40.6,66.1,0,0,0,,0,0,,16.1,270.4,1020,21.9,9.9,226.5,19.6,8,,2021-03-07T06:32:00,2021-03-07T18:09:42,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-08,59.1,51.1,53.9,59.1,51.1,53.9,37.1,53.4,0,0,0,,0,0,17.2,16.2,228.9,1022.1,72.2,9.9,198.5,17.2,8,,2021-03-08T06:30:32,2021-03-08T18:10:41,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-09,59,49.2,52.8,59,44.6,51.5,40.8,64.5,0.13,100,12.5,rain,0,0,34.4,15.3,179.3,1019.3,75.6,9.6,160.4,13.8,8,,2021-03-09T06:29:04,2021-03-09T18:11:39,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-10,54.4,46.4,49.9,54.4,42.1,47.9,41.1,72.2,0.53,100,62.5,rain,0,0,31.1,12.9,184.8,1014.2,88.5,9.3,160.5,13.9,7,,2021-03-10T06:27:35,2021-03-10T18:12:36,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-11,57.3,44.6,50.1,57.3,41.8,48.7,40.1,69.8,0.14,100,29.17,rain,0,0,29.5,21.8,194.7,1018.8,69.8,9.6,209.3,18.1,8,,2021-03-11T06:26:06,2021-03-11T18:13:34,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-12,63.3,44.4,52.8,63.3,41.6,51.8,42.5,69.5,0,0,0,,0,0,,16.5,198.9,1021.2,19.3,9.9,244.5,21.1,8,,2021-03-12T06:24:36,2021-03-12T18:14:31,1,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-13,56.4,50.9,52.7,56.4,50.9,52.7,42,67.2,0,0,0,,0,0,24.2,17.8,270.2,1026,86.6,9.8,192.2,16.5,9,,2021-03-13T06:23:06,2021-03-13T18:15:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-14,58.7,49,53.4,58.7,42.3,52.5,41.3,64.1,0.19,100,25,rain,0,0,31.5,20,196.9,1022.6,96.8,9.2,82,6.6,3,,2021-03-14T07:21:36,2021-03-14T19:16:25,0.01,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-15,54.3,46.2,50.1,54.3,39.1,46.8,36.3,59.5,0.02,100,8.33,rain,0,0,41.4,26.4,290.5,1017.1,60.7,9.8,199.2,17.2,7,,2021-03-15T07:20:06,2021-03-15T19:17:22,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-16,56.6,42.7,49.4,56.6,38.3,47.6,37.5,64.3,0,0,0,,0,0,,16.9,242.5,1018.3,26,9.9,252.2,21.7,9,,2021-03-16T07:18:35,2021-03-16T19:18:18,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-17,56.3,43.6,50.1,56.3,39.8,49.1,38.7,65.3,0,,0,,0,0,,8.6,201.8,1019.7,64.5,9.9,232.8,11.7,6,,2021-03-17T07:17:05,2021-03-17T19:19:14,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-18,57.7,51.8,54.6,57.7,51.8,54.6,47,75.7,0.28,100,45.83,rain,0,0,28.9,13.3,174.5,1019.2,96.3,8.6,47.6,3.9,2,,2021-03-18T07:15:34,2021-03-18T19:20:11,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-19,60.8,51.3,54.9,60.8,51.3,54.9,47.2,76,0,0,0,,0,0,,16.1,221.7,1021.9,76.5,9.7,219.7,19,8,,2021-03-19T07:14:02,2021-03-19T19:21:06,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-20,57.9,47.7,52.6,57.9,44.8,51.9,41.9,67.7,0.01,100,4.17,rain,0,0,31.1,21.3,294.6,1025.6,32,9.9,262.6,22.6,9,,2021-03-20T07:12:31,2021-03-20T19:22:02,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
san francisco,2021-03-21,60.8,42.5,51.4,60.8,42,50.9,41.8,70.74,0,,0,,0,0,35.7,20.3,279,1024.8,13.9,9.9,445,22.4,9,,2021-03-21T07:11:00,2021-03-21T19:22:58,0.24,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,C5988,72494023234"
